IDviis,FKey,VNr,Nr,voti,alter,tugiheli,korgus,tempo,takt,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,markusi,viis
1860,1909,1,,&,,g,,,,2d,h,2d,2d,2d,2c,a,2c,2e,2c,2c,h,h,g,g,h,,
1861,1910,1,,&,,g,,,,2d,h,2d,2d,2d,2c,a,2c,2e,2c,2c,h,h,g,g,h,,
1862,1911,1,,&,,g,,,,2d,h,2d,2d,2d,2c,a,2c,2e,2c,2c,h,h,g,g,h,,
1863,1912,1,,&,,g,,,,2d,h,2d,2d,2d,2c,a,2c,2e,2c,2c,h,h,g,g,h,,
1864,1913,1,,&,#f,d,,,,a,f,a,f,a,g,e,g,h,a,f,g,e,d,d,d,,
1865,1914,1,,&,,g,,,,2d,h,2d,h,2d,2c,a,2c,2e,2d,h,2c,a,g,g,g,,
1866,1915,1,,&,,g,,,,2d,2d,2d,h,2e,2e,a,a[h],2c,2c,2c,h,2d,2d,g,g,,
1867,1916,1,,&,,g,,,,2d,2d,2d,h,2e,2e,a,a[h],2c,2c,2c,h,2d,2d,g,g,,
1868,1917,1,,&,,g,,,,2d,2d,2d,h,2e,2e,a,a[h],2c,2c,2c,h,2d,2d,g,g,,
1869,1918,1,,&,,g,,,,2d,2d,2d,h,2e,2e,a,a[h],2c,2c,2c,h,2d,2d,g,g,,
1870,1919,1,,&,bh,f,,,,2c,a,2c,2c,2c,a,f,a,2d,2c,h,a,a,f,f,f,,
1871,1920,1,,&,bh,f,,,,2c,a,2c,a,2d,2c,a,2c,2c,2c,h,a,f,f,f,f,,
1872,1921,1,,&,#f,g,,,,2d,2d,2D,2c,2e,2e[2c],2c,a,2c,2c,a,f[e],g[a],g[a],g,a/h,,
1873,1922,1,,&,#f,g,,,,2d,2d,2d,2c,2e,2e[2c],2c,a,2c,2c,a,f[e],g[a],g[a],g,a/h,,
1874,1923,1,,&,#f,g,,,,2d,2d,2d,2c,2e,2e[2c],2c,a,2c,2c,a,f[e],g[a],g[a],g,a/h,,
1875,1924,1,,&,#f,g,,,,2d,2d,2d,2c,2e,2e[2c],2c,a,2c,2c,a,f[e],g[a],g[a],g,a/h,,
1876,1925,1,,&,#f,g,,,,2d,2d,2d,2c,2e,2e[2c],2c,a,2c,2c,a,f[e],g[a],g[a],g,a/h,,
1877,1926,1,,&,#f,g,,,,2d,2d,2d,2c,2e,2e[2c],2c,a,2c,2c,a,f[e],g[a],g[a],g,a/h,,
1878,1927,1,,&,bh,f;a,,,,a,a,2d,2d,a,h,g,f,g,g,2c,2c,a,h,a,a,,
1879,1928,1,,&,#f,g,,,,g[2d],2d,a,a,a,h/2c,2d,2d,2e[2d],2d[2d/2c][2c/h],a[h],h[a][a/h],a[h],f,g,g,,
1880,1929,1,,&,#f,g,,,,g[2d],2d,a,a,a,h/2c,2d,2d,2e[2d],2d[2d/2c][2c/h],a[h],h[a][a/h],a[h],f,g,g,,
1881,1930,1,,&,#f,g,,,,g[2d],2d,a,a,a,h/2c,2d,2d,2e[2d],2d[2d/2c][2c/h],a[h],h[a][a/h],a[h],f,g,g,,
1882,1931,1,,&,#f,g,,,,g[2d],2d,a,a,a,h/2c,2d,2d,2e[2d],2d[2d/2c][2c/h],a[h],h[a][a/h],a[h],f,g,g,,
1883,1932,1,,&,#f,g,,,,g[2d],2d,a,a,a,h/2c,2d,2d,2e[2d],2d[2d/2c][2c/h],a[h],h[a][a/h],a[h],f,g,g,,
1884,1933,1,,&,#f,g,,,,g[2d],2d,a,a,a,h/2c,2d,2d,2e[2d],2d[2d/2c][2c/h],a[h],h[a][a/h],a[h],f,g,g,,
1885,1934,1,,&,#f,g,,,,g[2d],2d,a,a,a,h/2c,2d,2d,2e[2d],2d[2d/2c][2c/h],a[h],h[a][a/h],a[h],f,g,g,,
1909,1958,1,,&,,e;c,,,,e,f,e,d,a,g,a,e,e,f,e,d,g,e,e,e,,
1910,1959,1,,&,,e;c,,,,e,f,e,d,a,g,a,e,e,f,e,d,g,e,e,e,,
1911,1960,1,,&,,e;c,,,,e,f,e,d,a,g,a,e,e,f,e,d,g,e,e,e,,
1912,1961,1,,&,,e;c,,,,e,f,e,d,a,g,a,e,e,f,e,d,g,e,e,e,,
1913,1962,1,,&,,h;g,,,,h,h/2c,2e,2e,2d[2d/2c],h/2c,2d,2d,h,a,2c,2d,2c,h,h,h,,
1914,1963,1,,&,,h;g,,,,h,h/2c,2e,2,h,h/2c,2d,2d,h,a,2c,h/2c,2e,2c,h,h,,
1915,1964,1,,&,,h;g,,,,h,h/2c,2e,2e,h,h/2c,2d,2d,h,a,2c,h/2c,2e,2c,h,h,,
1916,1965,1,,&,,h;g,,,,h,h/2c,2e,2e,h,h/2c,2d,2d,h,a,2c,h/2c,2e,2c,h,h,,
1917,1966,1,,&,,h;g,,,,h,h/2c,2e,2e,h,h/2c,2d,2d,h,a,2c,h/2c,2e,2c,h,h,,
1918,1967,1,,&,,h;g,,,,h,h/2c,2e,2e,h,h/2c,2d,2d,h,a,2c,h/2c,2e,2c,h,h,,
1919,1968,1,,&,,h;g,,,,h,h/2c,2e,2e,h,h/2c,2d,2d,h,a,2c,h/2c,2e,2c,h,h,,
1920,1969,1,,&,,h;g,,,,h,h/2c,2e,2e,h,h/2c,2d,2d,h,a,2c,h/2c,2e,2c,h,h,,
1921,1970,1,,&,,h;g,,,,h,h/2c,2e,2e,h,h/2c,2d,2d,h,a,2c,h/2c,2e,2c,h,h,,
1922,1971,1,,&,,h;g,,,,h,h/2c,2e,2e,h,h/2c,2d,2d,h,a,2c,h/2c,2e,2c,h,h,,
1923,1972,1,,&,#f,f;e,,,,h,f/g,a,a/g,a,f,e,e,f,f/g,h,a,g,f,f,f,,
1924,1973,1,,&,,h;g,,,,2d,h,h,h,2d,a,a,a,2c,2c,2e,2e,2d,2d,h,h,,
1925,1974,1,,&,bh,a;f,,,,a,a,2d,2d,2c,a,a,a,h,g,g,g,2c,a,a,a,,
1937,1986,1,,&,bh,a;f,,,,a,a/h,2c,g,a,h,2c,g,a,h,2d,2c,h,a,a,a,,
1938,1987,1,,&,#f,f;d,,,,a,f,a,h,a,f,f,f,g,e,e,e,a,f,f,f,,
1939,1988,1,,&,,c,,,,2c,a,a,g,g,e,e,g,g,f,e,d,d,c,c,c,,
1940,1988,2,,&,,c,,,,2c,a,a,g,g,g[e],e,g[f],g,e,f,d,d,c,c,c,,
1941,1989,1,,&,#f,e;d,,,,e,e,a,f,g,e,e,e,f,d,d,d,f,e,e,e,,
1942,1990,1,,&,bh,a;f,,,,2c,"h""",a,2f,2e,2d,2c,a,2f,2e,2d,2c,2d/2c,h,a,a,,
1943,1991,1,,&,,e;c,,,,g,g,a,h,2c,a,g,g[a],2c,a,g,a,g[e],e,e,e,,
1944,1992,1,,&,,e;c,,,,g,g,a,h,2c,a,g,g[a],2c,a,g,a,g[e],e,e,e,,
1945,1993,1,,&,,e;c,,,,g,g,a,h,2c,a,g,g[a],2c,a,g,a,g[e],e,e,e,,
1946,1994,1,,&,,e;c,,,,g,g,a,h,2c,a,g,g[a],2c,a,g,a,g[e],e,e,e,,
1947,1995,1,,&,,e;c,,,,g,g,a,h,2c,a,g,g[a],2c,a,g,a,g[e],e,e,e,,
1948,1996,1,,&,,e;c,,,,g,g,a,h,2c,a,g,g[a],2c,a,g,a,g[e],e,e,e,,
1949,1997,1,,&,bh,a;f,,,,2c,2c,2e,2d,2f,2d,2d,2c,2e,2d,2d,h,h,a,a,a,,
1950,1998,1,,&,bh,a;f,,,,2c,2c,2e,2d,2e,2d,2c,h,2e,2d,2d,h,2c,a,a,a,,
1951,1999,1,,&,#f;#c;#g;#d,g;e,,,,2c,a,2e,2c,2d,h,h,g,h,a,g,f,h,g,g,g,,
1952,2000,1,,&,#f;#c;#g;#d,g;e,,,,2c,a,2e,2c,2d,h,h,g,h,a,g,f,h,g,g,g,,
1953,2001,1,,&,,a;g,,,,2c,h,2d,h,h,a,a,a,h,g,g,g,a,a,a,a,,
1954,2002,1,,&,,a;g,,,,2c,h,2d,h,h,a,a,a,h,g,g,g,a,a,a,a,,
1955,2003,1,,&,,a;g,,,,2c,h,2d,h,h,a,a,a,h,g,g,g,a,a,a,a,,
1956,2004,1,,&,,a;g,,,,2c,h,2d,h,h,a,a,a,h,g,g,g,a,a,a,a,,
1957,2005,1,,&,bh,g,,,,g,a,h,g,h,2c/h,a,g,2d,h,2c,2d/2c,h,a,g,g,,
1958,2006,1,,&,,a,,,,a,2c,2e,2d,h,2d,2c,h,2c[2d],h[2c],a,a,a,a,a,a,,
1959,2007,1,,&,,a,,,,2e,2e,2e,2d,2c,h,h,h,2d,2d,2d,2c,h,a,a,a,,
1960,2008,1,,&,bh,d,,,,a,a,f,a,g,g/f,e/f,g,g,f/e[f],d,f,d,d,d,d,,
1961,2009,1,,&,be,c,,,,c,c,e,g,g,f,e,d,g,f,e,d,d,c,c,c,,
1962,2010,1,,&,,g,,,,g,h,g,g,#f,#f,e,e,f,a,f,a,a,g,g,g,,
1963,2011,1,,&,,a,,,,a,2c,2e,2e,2e,2d,2e,h,2e,2d,h,2c,a,a,a,a,,
1964,2012,1,,&,,a,,,,a,2c,2e,2e,2e,2d,2e,h,2e,2d,h,2c,a,a,a,a,,
1965,2013,1,,&,bh,g,,,,2d,2d,2c,a,h,g,g,a/h,2c,a,2d,2c,h,g,g,g,,
1966,2014,1,,&,bh,g,,,,2d,2d,2c,a,h,g,g,a/h,2c,a,2d,2c,h,g,g,g,,
1967,2015,1,,&,bh,g,,,,2d,2d,2c,a,h,g,g,a/h,2c,a,2d,2c,h,g,g,g,,
1968,2016,1,,&,bh,g,,,,2d,2d,2c,a,h,g,g,a/h,2c,a,2d,2c,h,g,g,g,,
1969,2017,1,,&,bh,g,,,,2d,2d,2c,a,h,g,g,a/h,2c,a,2d,2c,h,g,g,g,,
1970,2018,1,,&,bh,g,,,,2d,2d,2c,a,h,g,g,a/h,2c,a,2d,2c,h,g,g,g,,
1971,2019,1,,&,,a,,,,2c,2e,2e,2c,2e,2d,2c,h,2c,2e,2d,2c,h,a,a,a,,
1972,2020,1,,&,,d,,,,f,f,e,d,a,a,g,g,f,f,e,e,d,d,d,d,,
1973,2021,1,,&,,a,,,,2c,2c,2e,2e,2c,2c,h,h,2c,2e,2d,2d,h,h,a,a,,
1974,2021,2,,&,,a,,,,2e,2e,2c/2d,h/2c,h,a,a,a,2c,2e,2d,h,2c,a,a,a,,
1975,2022,1,,&,,a,,,,2e,2d,2e,h,2c[h],h[2c],h,h,2d,2c,2d,h[a],a[h],a,a,a,,
1976,2023,1,,&,be,c,,Moder,,e[g],g,g,e,f,f,f,d,g,f,e,d,e[c],c,c,c,,
1977,2024,1,,&,#f,h?;e,,,,h,h,a,h,g,f,e,e,a,a,g,a,h[g?],h,h,h,,
1978,2025,1,,&,bh,g,,,,2d[h],2d,2c,h/2c,2d,h,a,g,2c,2c,h,a,h,g,g,h/2c,,
1979,2026,1,,&,bh,g,,,,2d[h],2d,2c,h/2c,2d,h,a,g,2c,2c,h,a,h,g,g,h/2c,,
1980,2027,1,,&,bh,g,,,,2d[h],2d,2c,h/2c,2d,h,a,g,2c,2c,h,a,h,g,g,h/2c,,
1981,2028,1,,&,bh,g,,,,2d[h],2d,2c,h/2c,2d,h,a,g,2c,2c,h,a,h,g,g,h/2c,,
1982,2029,1,,&,bh,g;h,,,,2d,h,h,h,g,g,g,g,2c,2c,2c,a,h,h,h,h,,
1983,2030,1,,&,bh,g;h,,,,2d,h,h,h,g,g,g,g,2c,2c,2c,a,h,h,h,h,,
1984,2031,1,,&,,a,,,,2c,2e,2c,2c,2d,h,h,2c/2d[h],2e,2d,2c,h,h,a,a,a,,
629,816,1,,&,be,c,,,24,e,d,e,g,g,f,f,e,g,e,e,d,d,c,c,c,,816
630,817,1,,&,bh,g,,,C,2d,h,h,a,h,2c,2c,2d,2c,h,a,g,g[h],g[h],g[h],g[h],,
631,818,1,,&,,a,,,,2e,2d,2d,2e,2c,a,a,2c,2e,2d,2c[h],h[2c],h,a,a,a,,818
632,819,1,,&,,a,,,,2e,2d,2d,2e,2c,a,a,2c,2e,2d,2c[h],h[2c],h,a,a,a,,819
633,822,1,,&,,a,,,,2e,2d,2d,2e,2c,a,a,2c,2e,2d,2c[h],h[2c],h,a,a,a,,822
634,821,1,,&,,a,,,,2e,2d,2d,2e,2c,a,a,2c,2e,2d,2c[h],h[2c],h,a,a,a,,821
635,820,1,,&,,a,,,,2e,2d,2d,2e,2c,a,a,2c,2e,2d,2c[h],h[2c],h,a,a,a,,820
636,823,1,,&,bh,g,,,,h,2d,h,h,2c,a,g,g,a,h,f,f,a,g,g,g,,
637,824,1,,&,,a,,,C,a,a,h,2c,2e,2d,h,h[2c],2c,h,g[a],a,a,a,a,a,,
638,825,1,,&,#f,e,,,24,h,h,g,g,f,g,h,h,h,a,g,f,d,e,e,e[g],,
639,826,1,,&,#f,e;#f,,1/8=174,48,a,f,e,e,g,g,h,h,a,a,g,g,f,f,f,f,,
640,827,1,,&,,f;a,,,24,2c,a,2c,a,2d,2d,h,h,h,g,h,a[a/h],2c,2c,a,a,,
641,828,1,,&,#f,e,,,24,g,a,h,g,2c,a,g,a,h,g,e,f,g,e,e,e,,
642,829,1,,&,#f,g,,,24,h,2d,2d,2c,2c,h,2d,h,h,2c,a,h,g,g,g,g,,
643,830,1,,&,,c;d,,,,c,c,e,e,g,f,f,d,c,d,e,d,f,d,d,d,,
644,831,1,,&,bh,g,,,44,g,a,a,g,2d,h,g,a,g,g,h,h,a,h,g,a,,
645,832,1,,&,,h;a,,,34,h,a,h,2c,h,h,a,h,h,a,h,2d,h,h,a,h,,
646,833,1,,&,#f,g,,,34,2c,2d,2e,2d,2c,h,a,g,a,h,2c,a,a,g,g,g,,
647,834,1,,&,,c;e,,,48,g,e,a,g,f,d,d,d,f,d,g,f,e,e,e,e,,
648,835,1,,&,#f,g,,,48,g,a,h,g,2c,h,h\a,g,h,a,a,a,a,f,g,g,,
649,836,1,,&,#f,g,,,48,g,h,2d,h,2d,2c,a,g,a,h,2c,a,2c,h,a,g,,
650,837,1,,&,#f,g,,,,g,g,h,h,2c,2c,a,a,h,h,g,f,a,a,g,g,,
651,838,1,,&,#f,e;c,,,58,e,e,g,g,a,g,e,d,g,f,d,d,e,e,e,e,,
652,839,1,,&,#f,g,,,48,2c,h,h,h,2d,h,h,h,2c,h,h,a,g,g,g,g,,
653,840,1,,&,#f,g;a,,,48,h,h,a,a,h,a,a,a,h,2c,a,g,h,a,a,a,,
654,841,1,,&,#f,g,,,48,g,a,h,a,2d,2c,h,a,2d,2c,h,a,h,g,g,g,,
655,842,1,,&,#f,d;g,d¹=fis¹,1/8=192,48,d,d,g,g,f,e,f,f,e,e,f,e,e,d,d,d,,
656,843,1,,&,#f,g;h,,,48,2d,2d,h,h,h,h,h,h,2d,h,h,h,h,h,h,h,,
657,844,1,,&,#f,g;h,,,48,2d,h,h,h,2c[h],h,h,h,2d,h,h,h,h,h,h,h,,
658,845,1,,&,#f,g;d,,,24,g[d],g[d],g,a,h,h,g,h,a,g,f,e,d,d,d,d,,
659,846,1,,&,#f,g,,,48,g,a,h,a,g,g,a,h,g,a,h,a,g\d,g,g,g,,
660,847,1,,&,#f;#c;#g,a;g,,,44,2c,a,a,a,2c,h,h,h,h,g,g,g,h,a,a,a,,
661,848,1,,&,#f,g,,,48,g,h,a,g,f,a,a,a,a,2c,h,a,h,g,g,g,,
662,849,1,,&,#f,g,,,24,a,f,g,g,a,f,g,g,a,2c,h,g,a,f,g,g,,
663,850,1,,&,#f,g,,,48,g,g,2c,2c,h,g,a,a,g,g,h,h,a,f,g,g,,
664,851,1,,&,#f,g,,,24,g,g,g,g\h,a,a,a,a,a,a,a,a\2c,h,a,g,g,,
665,852,1,,&,#f,g,,,48,h,g,g,g,2c,h,a,a,h,a,g,f,a,g,g,g,,
666,853,1,,&,#f,g,,,48,g,g,a,a,2c,h,a,a,h,a,g,f,a,g,g,g,,
667,854,1,,&,#f,g,,,24,g,g,2c,a,2c,2c,h,g,h,h,a,f,a,f,g,g,,
668,855,1,,&,#f,g,,,24,g,g,2c,a,2c,2c,h,g,h,h,a,f,a,g,g,g,,
669,856,1,,&,,c,,,44,c,d,e,f,e,d,c,c,d,c,1h,d,e,d,c,c,,
670,857,1,,&,#f,g,,,48,g,2c,h,h,h,a,a,a,a,h,a,a,a,g,g,g,,
671,858,1,,&,,e;c,,,24,g,e,g,e,g,f\e,d,d,d,d,e,e,d,d,e,e,,
672,859,1,,&,#f,h;g,,,48,h,h,h,h,2d,2d,h,h,2c,2c,a,a,2d,2d,h,h,,
673,860,1,,&,,e;c,,,24,g,e\f,g,g,g\f,e\f,g,g,g\f,e\f,g,e,d,d,e,e,,
674,861,1,,&,,a,e²=d,,,2e,2d,2e[2f][2e\2f],2f[2e][2f\2e],2e,2d,h,2c,2e,2d,h[2c][2d],h,h[2c],a,a,2c[a],,
675,866,1,,&,bh;be,g,,,,2d,h,h,a,a,g,g,g,2c,2c,2d,2c,2e,2c,2c,h,,866
676,867,1,,&,bh;be,g,,,,2d,h,h,a,a,g,g,g,2c,2c,2d,2c,2e,2c,2c,h,,867
677,868,1,,&,bh;be,g,,,,2d,h,h,a,a,g,g,g,2c,2c,2d,2c,2e,2c,2c,h,,868
678,869,1,,&,bh;be,g,,,,2d,h,h,a,a,g,g,g,2c,2c,2d,2c,2e,2c,2c,h,,869
679,870,1,,&,#f,g,h¹?gis¹,,48-58,h,h[h/2c],2c,2d[a],h[a],a,g,g,h,2d,2d[2c],2c[h],h[a],a,g[a],g,,
680,871,1,,&,bh;be,g,,,C,h,h,2c,2e,2c,2c[a],h,h,2c,2c,h,a,h,h[g],g,g,,871
681,872,1,,&,bh;be,g,,,C,h,h,2c,2e,2c,2c[a],h,h,2c,2c,h,a,h,h[g],g,g,,872
682,873,1,,&,#f,g,,,2/4,h,2d,2d,h\2c,2d,2c,h,g,2d,h,2d,f,a,g,g,g,,873
683,874,1,,&,#f,g,,,2/4,h,2d,2d,h\2c,2d,2c,h,g,2d,h,2d,f,a,g,g,g,teksti EÜS X 2560/1 (9) juurde vaja lisada 2. viis: h 2d 2d h 2d 2c a[h] a   2d 2c a a[h] h[a] g g g. teksti ...(11) juurde seda aga vaja pole.,874
684,875,1,,&,bh,f,c²=c?,,2/4,2c,2c,a[h(bekaar!)],h[h bekaar],2c,a,g,f,a,a,g[h][a],g,f[g],f,f,f[a],,875
685,4315,2,,&,,a,e²=d²,,,2e,2d,2e[2f][2e\2f],2f[2e][2f\2e],2e,2d,h,2c,2e,2d,h,h,2c,a,a,a,,
686,870,2,,&,#f,g,,,,h[a],2c,2c[2c/a],a,a,g,g,g,h,2d,2d,h,2ac,a,g,g,,
687,4610,1,,&,,g,,,,g,h,h,a/h,2d,2c,h,g,g,h,h,a/h,2d,h,a,g,,
1798,1855,1,,&,bh,g;f,,,,2c,a,2c,2c,h,a,a,g,2c,f,f,a,2c,a,a,g,,
1799,1856,1,,&,bh,g;f,,,,2c,a,2c,2c,h,a,a,g,2c,f,f,a,2c,a,a,g,,
1800,1857,1,,&,,g;a,,,,h,h,2d,2c,h,2c,h,g,h,h,2d,2c,h,h,a,a[g],,
1801,1858,1,,&,,g;a,,,,h,h,2d,2c,h,2c,h,g,h,h,2d,2c,h,h,a,a[g],,
1802,1859,1,,&,,g;a,,,,h,h,2d,2c,h,2c,h,g,h,h,2d,2c,h,h,a,a[g],,
1803,1860,1,,&,bh,g;f,,,,2c,a,2c,a,2c,a,a,f,h,g,h,g,h,g,g,g,,
1804,1861,1,,&,bh,g,,,,g,g,2c,g,2c,a,a,g,f,f,h,g,h,a,a,g,,
1805,1861,2,,&,bh,g,,,,g,g,2c,g,2c,a,g,g,f,f,h,g,h,a,g,g,,
1806,1861,3,,&,bh,g,,,,g,g,f,g,2c,a,g,g,f,f,h,g,h,a,g,g,,
1807,1862,1,,&,bh;be;ba,f.e,,,,f,f,h,h,f,h/a,g,e,g,g,e,f,f,f,f,f,,
1808,1863,1,,&,,g,,,,g,h,2d,2e,2d,2c,a,h,2d,2c,h,a,h,g,g,g,,
1809,1864,1,,&,,c,,,,g,a,g,g,g,e,d,d,f,g,f,f,f,d,c,c,,
1810,1865,1,,&,,c;g,,,,g,f,a,g,g,e,g,f,e,d,f,e,d,c,g,g,,
1811,1866,1,,&,,c,,,,g,f,e,g,a,g,f,d,g,f,e,f,d,c,c,e,,
1812,1867,1,,&,,g;a,,,,2d,2e/2d,2d,h/2c/h,a,h/a,g,g,2c,2d/2c,2c,h,a,h,a,a,,
1813,1868,1,,&,,g,,,,2d,2d,2e[2d],2d,2d,2c,2c,a,2c,2c,2d,2c,2c,h,h,g,,
1814,1869,1,,&,,g,,,,2d,2d,2e[2d],2d,2d,2c,2c,a,2c,2c,2d,2c,2c,h,h,g,,
1815,1870,1,,&,bh,f;g;a,,,,2d,2d,2c,a,h,g,f,g,a,a,h,g,2c,2c,a,2c,,
1816,1872,1,,&,,g;h,,elava,,2d,2d,2e,2e,2d,2d/2c,h,h/2c,2d,2d,2c,a,g,2d,h,h,,
1817,1872,2,,&,,g;c,,,,2d,2d,2e,2e,2d,h/2d/2c,h,h/2c,2d,2d,2c,a,h,g,2c,2c,,
1818,1873,1,,&,,g;h,,,,2d,2d,2e,2e,2d,2d/2c,h,h/2c,2d,2d,2c,a,g,2d,h,h,,
1819,1873,2,,&,,g;c,,,,2d,2d,2e,2e,2d,2d/2c,h,h/2c,2d,2d,2c,a,h,g,2c,2c,,
1820,1874,1,,&,,a;g,,,,2e,2e,2d,h,h,g,g,h,2d,2e/2d,2c,a,a,a,a,a,,
1821,1875,1,,&,,c,,104,,e,d,c,e,g,a,g,e,g,g,f,d,c,c,c,c,,
1822,1876,1,,&,,c,,,,g,e,c,e,g,a,g,e,g,g,f,d,c,c,c,c,,
1823,1877,1,,&,#f,d,,,,a,g,h,a,a,g,a,f,f,e,g,e,e,d,a,a,,
1824,1878,1,,&,,h;g,,,,2d,h,2c,2e,2d,h,h,2c,2d,h,a,h,2d,h,h,h,,
1825,1879,1,,&,,g,,,,g,h,2d,2e,2d,h,h,g,2d,2c,2c[a],a,a[g],g,g,g,,
1826,1879,2,,V,,g,,,,g,g,h,2d,2e,2d,h,g,2d,2c,2c,a,a[h],g,g,g,,
1827,1880,1,,&,bh;be;ba,g;e,,,,2c,2c,g,g,a,g,f,e,f,f,f,a,h,g,g,g,,
1828,1881,1,,&,,c,,AllMo,,c,d,e,f,a,g,e,g,g,f,d,f,e,c,c,c,,
502,682,1,,&,#f,g,,,24,2d,2d,2c,a,2d,2c,h,h,h,h,a,a,g,h,2d,2d,,
503,683,1,,&,#f,g,,,24,2d,h,2c,a,h[g],g[h],2d,2d,2c,a,h,h,g,h,2d,2d,,
504,684,1,,&,#f,g,,120,24,2d,h,2c,a,h,h,h,h,a,h,a,a,g,h,2d,2d,,
505,685,1,,&,#f,g,,120,24,2d,h,2c,a,h,g,h,h,a,f,a,a,g,h,2d,2d,,
506,686,1,,&,#f,g,,,48,2d,h,2c,a,h,g,h,h,a,f,a,f[a],g,h,2d,2d,[P 12] kuni lõpuni fa-diees; mitte la.,
507,687,1,,&,#f,g,,1/8=248,48,2d,h,2c,a,h,g,h,h,a,f,a,a,g,h,2d,2d,,
508,688,1,,&,#f,g,,,48,2d,2d,a,a,h,h,2c,2c,h,h,2c[a],a,g,g,h,h,,
509,689,1,,&,#f,g,,,,h,h,2d,h,h,a,a,a,h,h,2d,2c,a,g,h,h,,
510,690,1,,&,#f,g,,,,h,h,2d,h,h,a,a,a,h,h,2d,2c,a,g,h,h,,
511,691,1,,&,#f,g,,,,h,h,2d,h,h,a,a,a,h,h,2d,2c,a,g,h,h,,
512,692,1,,&,#f,g,,,,2d,h,h,h,2d,2c,h,h,h,g,g,g,2c,h,h,h,,
513,693,1,,&,,c,,1/4=92,,c,d,e[be],d,g,f,f,c,be,d,f,d,d,c,c,c,[Fon. järgneva kahe värsi mib on siiski veidi kõrgem /.../;hiljem on ka esimeses taktis mib (puhas).],
514,694,1,,&,,c,,80,24,c,e,g,g,e,d,c,c,d,e,g,e,d,e,c,c,,
515,695,1,,&,#f,g,,,C,h,h,2d,h,h,a,a,h[g],h,2d,2c,a,g,g,h,h,,
516,696,1,,&,,c,,,24,g,e,g,g,f,e,d,a,g,e,f,f,g,c,c,e[c],,
517,697,1,,&,#f;#c,d,,,,a,f,a,g,g,f,f,a,f,e,g,e,e,d,d,f,Teisend vt [EÜS] IV 1861 (58).,
518,698,1,,&,,g,,,24,2e,2e,2c,2c,h,h,a,a,2d,2d,h,h,g,g,g,g,,
519,699,1,,&,#f;#c,d,,,24,a,a,f,f,d,d,e,e,a,a,f,f,e\d,d,d,d,,
520,700,1,,&,#f,g,,,24,2d,2d,2c,2c,h,h,g,g,a,a,h,a,g,g,g,g,,
521,701,1,,&,#f,g;d,,262,48,g,g,a,f,f,e,e,d,f,f,g,e,e,d,g,g,,
522,702,1,,&,#f,g,,,24,g,h,g,g,f,e,d,d,f,a,f,f,e,f,g,g,,
523,703,1,,&,#f,g,,,48,h,a,g,f,e,e,a,a,a,g,f,e,d,d,g,g,,
524,704,1,,&,#f,g,,,48,h,a,g,f,e,e,a,a,a,g,f,e,d,d,g,g,,
525,705,1,,&,#f,g,,,48,h,h,g,g,e,e,a,a,a,a,f,f,d,d,g,g,,
526,706,1,,&,#f,g,,,48,h,h,g,g,e,e,a,a,a,a,f,f,d,d,g,g,,
527,707,1,,&,#f,g,,,48,h,h,g,g,e,e,a,a,a,a,f,f,d,d,g,g,,
528,708,1,,&,#f,g,,,48,h,h,g,g,e,e,a,a,a,a,f,f,d,d,g,g,,
529,709,1,,&,#f,g,,,48,h,h,g,g,e,e,a,a,a,a,f,f,d,d,g,g,,
530,710,1,,&,#f,g,,,48,h,h,g,g,e,e,a,a,a,a,f,f,d,d,g,g,,
910,1087,1,,&,,c;d,,,,g,g,d,f,g,g,c,e,g,g,d,f,e,c,d,d,,
911,1088,1,,&,#f,g;h,,,48,2d,h,2g,h,2d,2d,a,a,2f,2f,2e,2e,2d,2d,h,h,,
912,1089,1,,&,,c;d,,,,g,g,d,e,g,g,c,e,g,g,d,f,e,c,d,d,,
913,1090,1,,&,#f;#c,h,,,24,h,h,2d,2d,2f,2f,2e,2d,2f,2f,2d,2c,2c,h,h,h,,
914,1091,1,,&,#f;#c,d,,,24,d,d,e,d,g,g,f,e,f,f,e,f,e,d,d,d,,
915,1092,1,,&,#c,a,,,24,a,h,2d,2d,2d,h,c,c,c,a,h,h,a,a,a,a,[7.-9. silpnoot (märk ainult 7. kohal)] puhas cis; ainult harva kuuldus pisut madalam kui puhas cis. Kindel tempo. (pag. 1275),
916,1093,1,,&,#f,g,,,24,h,a,g,a,h,a,g,g,h,a,g,a,h,a,g,g,,
917,1094,1,,&,,c,,,42,2d,2e,2e,2e,2e,2d,2d,2d,2e,2d,2d,2d,2e,2c,2c,2c,,
918,1095,1,,&,#f,g,,,48,h,g,g,g,2c,h,a,a,h,a,g,g,a,g,g,g,,
919,1096,1,,&,,c,,,42,2e,2e,2e,2e,2f,2d,2d,2d,2f[2d],2d,2d,2d,2e,2c,2c,2c,,
920,1097,1,,&,#f,g,,,48,g,f,g,a,h,h,h,h,a,g,f,g,a,a,a,a,,
921,1098,1,,&,#f,g,,1/8=220,48,g,g,g,a,h,h,h,h,a,a,h,f,g,g,g,g,,
922,1099,1,,&,#f,g,,,24,h,h,g,g,h,h,g,g,a,a,f,f,a,g,g,g,,
923,1100,1,,&,#f,g,,1/8=210,48,h,h,a,a,g,g,f,a,a,2c,f,f,g,g,h,h,,
