IDviis,FKey,VNr,Nr,voti,alter,tugiheli,korgus,tempo,takt,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,markusi,viis
4420,4315,1,,&,,a,e²=d,,,2e,2d,2e[2f][2e\2f],2f[2e][2f\3e],2e,2d,h,2c,2e,2d[2e/2d],2c,h,2c,a,a,2c[a],l,
4421,4316,1,,&,,a,e²=d,,,2e,2d,2e[2f][2e\2f],2f[2e][2f\3e],2e,2d,h,2c,2e,2d,h[2c][2d],h,h[2c],a,a,2c[a],,
4422,4317,1,,&,,a,e²=d,,,2e,2d,2e[2f][2e\2f],2f[2e][2f\3e],2e,2d,h,2c,2e,2d,h[2c][2d],h,h[2c],a,a,2c[a],,
4423,4318,1,,&,#f,a;g,,,,h,2d,2d,h,2c,a,h,a[2d],a,2c,2c[h],a,h[2c],a,a,a,,4318
4424,4319,1,,&,#f,a;g,,,,h,2d,2d,h,2c,a,h,a[2d],a,2c,2c[h],a,h[2c],a,a,a,,4319
4425,4320,1,,&,#f,a;g,,,,h,2d,2d,h,2c,a,h,a[2d],a,2c,2c[h],a,h[2c],a,a,a,,4320
4426,4321,1,,&,#f,a;g,,,,h,2d,2d,h,2c,a,h,a[2d],a,2c,2c[h],a,h[2c],a,a,a,,4321
4427,4322,1,,&,bh;be,g,,,,h,h,2c,2e,2c,2c[a],h,h,2c,2c,h,a,h,h[g],g,g,,
4428,4323,1,,&,,g,,,,g,g,a,h,2c,e,e,e,f,d,d,d,a,g,g,g,,4323
4429,4324,1,,&,,g,,,,g,g,a,h,2c,e,e,e,f,d,d,d,a,g,g,g,,4324
4430,4325,1,,&,#f;#c,#f;d,,Mitte pikka,,a,f,h,a,g,g,g,g,g,e,a,g,f,f,f,f,Mitte pikka,
4431,4326,1,,&,#f;#c,#f;d,,Mitte pikka,,a,f,h,a,g,g,g,g,g,e,a,g,f,f,f,f,Mitte pikka,
4432,4327,1,,&,#f;#c,#f;d,,Mitte pikka,,a,f,h,a,g,g,g,g,g,e,a,g,f,f,f,f,Mitte pikka,
4433,4328,1,,&,#f,g,,,,2e,2d,2d,h,h,g,g,g,a,a,f,f,a,g,g,g,,
4434,4329,1,,&,bh,f,,,,a,a,2c,a,a,g,g,g,g,g,h,g,g,g[e],f,f,Viis Nr. 3 (käesolev) on viisi Nr.1 (EÜS VII 2155 (1)) teisend.,
4435,4330,1,,&,bh,f,,,,a,a,2c,a,a,g,g,g,g,g,h,g,g,g[e],f,f,Viis Nr. 3 (käesolev) on viisi Nr.1 (EÜS VII 2155 (1)) teisend.,
4436,4331,1,,&,bh,f,,,,a,a,2c,a,a,g,g,g,g,g,h,g,g,g[e],f,f,Viis Nr. 3 (käesolev) on viisi Nr.1 (EÜS VII 2155 (1)) teisend.,
